route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX2,KB_B4-Weekday,KB_B4-Weekday-076300_BX1_106,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377739,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-084500_BX1_113,MOTT HAVEN 138 ST via CONCOURSE,1,35377738,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-094100_BX2_216,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377738,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-104200_BX2_216,MOTT HAVEN 138 ST via CONCOURSE,1,35377738,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-113200_BX1_126,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377702,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-042600_BX2_204,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377739,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-051200_BX2_205,MOTT HAVEN 138 ST via CONCOURSE,1,35377740,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-059800_BX1_128,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377702,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-068900_BX1_128,MOTT HAVEN 138 ST via CONCOURSE,1,35377702,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-078300_BX1_131,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377714,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-087300_BX1_131,MOTT HAVEN 138 ST via CONCOURSE,1,35377714,BX020113
BX1,KB_B4-Weekday,KB_B4-Weekday-097000_BX1_129,LIMITED RIVERDALE 231 ST via CONCOURSE,0,35377714,BX010106
BX2,KB_B4-Weekday,KB_B4-Weekday-038000_BX1_114,MOTT HAVEN 138 ST via CONCOURSE,1,35377715,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-044500_BX1_115,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377716,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-038700_BX2_207,MOTT HAVEN 138 ST via CONCOURSE,1,35377742,BX020113
BX2,KB_B4-Weekday,KB_B4-Weekday-045700_BX2_208,KNGSBRIDGE HTS FT INDEP ST via CONCOURSE,0,35377743,BX020123
BX2,KB_B4-Weekday,KB_B4-Weekday-054700_BX2_208,MOTT HAVEN 138 ST via CONCOURSE,1,35377743,BX020113
